Year,KK_Title,KK_Text,A. Argo_1,A. Argo_2,A. Gatov_1,A. Gatov_2,A. Globa_1,A. Globa_2,A. Zhovtis,A. Kodar,A. Romm,A. Starostin,A. Steinberg_1,A. Steinberg_2,A. Steinberg_3,B. Kairbekov,B. Momyshuly,V. Bugayevsky,V. Derzhavin,V. Zvyagintseva_1,V. Zvyagintseva_2,V. Rozhdestvensky,G. Belger,D. Brodsky,E. Kurdakov,K. Doszhan,K. Lipskerov,L. Dligach,L. Nechai,L. Ozerov,L. Penkovsky,L. Rust,L. Schiffers,M. Adibayev,M. Dudin,M. Zamakhovskaya,M. Zenkevich_1,M. Zenkevich_2,M. Kasatkin,M. Lukonin,M. Petrovyh_1,M. Petrovyh_2,M. Sultanbekov,M. Tarlovsky,O. Rumer,P. Karaban_1,P. Karaban_2,P. Shubin_1,P. Shubin_2,S. Lipkin,S. Tleubayev,T. Streshneva,E. Schechtman,Y. Kuznetsov,Y. Neiman
1855,Кім екен деп келіп ем түйе қуған,"Кім екен деп келіп ем түйе қуған,\nҚатын ғой күлдәрімен белін буған.\nТөркінінің бергені жауыр айғыр,\nБауырыңды ұрайын бірге туған.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,"Фзули, Шәмси, Сәйхали","Фзули, Шәмси, Сәйхали,\nНауаи, Сағди, Фирдауси,\nХожа Хафиз — бу һәммәси\nМәдәтбер, я, шағири, фәриад!",,,"Шамси, Саади, Физули,\nХафиз, Навои, Сайхали,\nФирдовси, — молодому поэту,\nВеликие, вы помогли!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,Шығыс ақындарынша,"Йүзі — раушан, көзі — гәуһар, \nЛәғилдек бет үчі әхмәр,\nТамағи қардан һәм беһтәр,\nҚашың қудрәт, қоли шикә.\nӨзүң гузәлләрә раһбар,\nСәңә ашиқ болып кәмтәр,\nСүләймен, Жәмшит, Искәндәр,\nАла алмас барша мулкигә.\n\nМәбада олса ол бір кәз,\nТамаша қылса йүзмә-йүз,\nКетіп қуат, йұмылып көз,\nБойың сал-сал бола нигә?",,,,,,,,,,,,,,,,,,,,,,,,,"Как яхонт, взорам ты мила.\nТы блещешь мрамором чела,\nА шея нежная бела.\nКто создал брови — не пойму!\n\nХоть был бы тот, кто полонён.\nКак встарь Ямшид, и Соломон,\nИ Искандер всевластен, — он\nНе дорог сердцу твоему!\n\nТебя узрев, с тобой хоть раз\nГлазами астретясь, тот же час\nПотупим взор… нет сил у нас…\nИзнемогаем… Почему?",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,Әлифби,"Әлиф-дек ай йүзіңә ғибрәтеттім,\nБи — бәлаидәртіңәнисбәтеттім.\nТи — тілімнән шығарып түрлі әбиат,\nСи — сәнәимәдхіңәхурмәтеттім.\nЖим — жамалыңқандай ақ рузимаған,\nХә — хәлилликтапмадым, жаным, сәнан.\nХи — халайық, мен емес, бәрі интизар,\nДәл — дариға ғишықоты бермес аман.\nЗәл — зәлилліккөрген соң, сайрай бер, тіл, \nРе — риза қылмағыңды, яр, өзің біл.\nЗе — заһардайкүйдірді ғишқың қатты,\nСын — сәләмат қалмағым болды мүшкіл.\nШын — шәкәр ләбесіме түскен сайын,\nСат — сабырым қалмады, мен не әйләйін.\nЗат — заиғөмірім өтті менің бекер,\nТа — талаптан әйтеуір құр қалмайын.\nЗа — залым көп қылыш боп жанға оқталды, \n‘Айн — ақылымды басымнан тартып алды. \nҒайын — ғариблікбасыма түскеннен соң,\nФи — файдаңтие ме деп жаза салды.\nҚаф — қабыл болар ма екен жазған хатым, \nКәф — кәмілақылың, асыл затым.\nЛәм — ләбіңненем қылсаң мен дәртліге,\nМим — меһріңнен қалмас ед бар апатым.\nНун — нала ғып қайғыңмен күйдірдің көп, \nУау — уәйланағишқыңуайым жеп, \nҺи — һеш файдаң тимесе өлді ойлаңыз, \nЛәм-әлиф — лә иләһа иллалладеп.\nЯ — ярым, қалай болар жауап сөзің,\nМәд– қасың, тәшдид — кірпік, сукун — көзің. \nҮтірмен асты-үстілі жазуда бар,\nБолуға асты-үстілі көнсең өзің.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,Шәріпке,"Түңлікбайдың қатыны, атың Шәріп,\nБайға жарып көрмеген сен бір кәріп.\nСен — шыққан жол үстінде жалғыз түп ши, \nКөрінген ит кетеді бір-бір сарып.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,Абыралыға,"Мен жасымнан көп көрдім\nМұсылманды, кәпірді.\nАбыралыдай көрмедім\nНамаз білмес пақырды.\n\nҚираәтін оқытып\nКөріп едім, шатылды.\nНиет қыла білмейді,\nНе қылады нәпілді.\n\nНамазшамның артынан\nҚұржаң-құржаң етеді.\nЖер ұшық берген кісідей,\nТоңқаңдай ма, не етеді.\n\nНәпіл түгіл намазы —\nБәрі желге кетеді.\n«Еннатайына кәлкәусар»,\nПашол дереу, күнәкар\nАяғын ойлап айтқаны:\n«Әні-шаны күлаптар».\n\nОсы оқумен намаздың\nҚай жерінде сауап бар?\nТегін ойлап байқасаң,\nМұнда ми жоқ, құлақ бар.",,,,,,,,,,,,,,,,"Знал мусульман я без числа,\nВстречал неверных я не раз, —\nНо всех глупее Абралы,\nНетвёрдо знающий намаз.\nЗаставишь вслух его читать —\nСобьётся, переврёт тотчас…\nБезграмотный, он хочет слыть\nБлагочестивейшим средь нас.\nВот на колени он упал,\nВот встал, вот снова наземь лёг,\nКак знахарь, суетится он.\nКакой-то видя в этом прок.\nЕго ж молитвам и ему,\nОднако, цену знает бог.\n«Еннатыйна…» — бормочет он.\nВон, жалкий нечестивец, вон!\nОн снова путает слова,\nНимало этим не смущён.\nНо от такой молитвы всё ж\nНе будешь сердцем умилён.\nВ ней смысла нет, в ней толку нет, —\nОн понаслышке умудрён.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,Жақсылыққа,"Аяғыңды аңдап бас, ей, Жақсылық!\nӨз басыңда жының бар бір бақсылық. \nБорышқорлық — адамға қиын нәрсе, \nӘрқайда өсіткізеді мал тапшылық.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Эй, ты, Жаксылык, — хоть себя пожалей!\nНа многих хватило бы дури твоей!\nБерёшь ты из бедности деньги взаймы?\nНо займы как раз и приводят-то к ней!",,,,,,,,,
1880,"Сап, сап, көңілім, сап, көңілім!","Сап, сап, көңілім, сап, көңілім!\nСаяламай, сай таппай,\nНе күн туды басыңа,\nКүні-түні жай таппай?\nСен жайыңа жүргеннен,\nҚыз өле ме бай таппай?\nТүн кезгенің мақұл ма, \nЖан-жағыңа жалтақтай?\nӨлермін деп жүрмісің,\nМұнан басқа жан таппай?\n\nСап, сап, көңілім, сап, көңілім! \nСабыр түбі — сары алтын.\nСабыр қылсаң, жайыңды \nБілер ме екен бекзатым?\nКөңіл аулап, сөз айтар \nАрадағы тілхатым,\nАғын судай екпіндеп,\nЛайы жоқ суатым,\nАуру да емес, сау да емес, \nҚұрыды әл-қуатым.\n\nСап, сап, көңілім, сап, көңілім! \nСанақылма бекерге.\nСан қылғанмен пайда жоқ,\nДүние даяр өтерге,\nАжал даяр жетерге.\nҚош, қыз алсын қойнына,\nБейнет көрмей, дәулет жоқ.\nӘлі барып кетерге,\nОныменен бойыңа \nИман, дәулет бітер ме?\nАдалды сатсаң арамға,\nҚұдай қабыл етер ме?\nҚыз сүйеді мені деп,\nОған көңіл көтерме!\nСап, сап, көңілім, сап, көңілім! \nСарқа берме санасын.\nБәрін өзің білсең де,\nӘлі-ақ өзің танасың.\nӨртенесің, жанасың.\nӨз-өзіңнен бейнетке \nӨз басыңды саласың.\nҚай мезгілде тойғыздың \nАюдайын ағасын,\nҚатыны мен қалашын?\nҚарсақ жортпас қара адыр, \nҚарамай неге шабасың?\nСонда тәуір бола ма,\nҰстап ап біреу сабасын? \nКиіміңді тонасын,\nЕлге де күлкі боласың.\nСап, сап, көңілім, сап, көңілім! \nСағынышқа сарғайма!\nЖай жүрсең де қыз қумай, \nСені біреу қарғай ма?\nҚыз іздесең, қалың бер,\nМұным ақыл болмай ма?\nКөріп алсаң көріктіні,\nТандап алсаң тектіні,\nСонда көңіл толмай ма?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"О сердце, свой жар остуди,\nНа отдых пора нам с тобой.\nЧто вечно ты ищешь? Найди\nЖеланный прохладный покой!\nКогда ты замолкнешь в груди, —\nБеды черноглазым не ждать.\nНайдут себе друга опять\nИ счастье найдут впереди.\nТы бродишь в тоске по ночам,\nСтремишься к чёрным очам.\nЯ крепко сержусь на тебя:\nСебя без остатка губя.\nОт горьких ты высохло дум.\nКогда ж ты возьмёшься за ум?\nО сердце, само посуди,\nОпасный ты выбрало путь.\n\nО сердце, свой жар остуди,\nСтепенным и сдержанным будь.\nНо благоразумный совет\nТебе не пойдёт ли во вред?\nКрасавица разве поймёт,\nЧто скрыл обманчивый лёд\nПыланье опущенных глаз,\nНевысказанные слова?\nЧто напоминала не раз\nЛюбовь про свои права?\nЧто песни твоей ручей\nИссякнет в бесплодном песке?\nЧто ты увянешь в тоске,\nПротивясь воле своей?\n\nО сердце, свой жар остуди,\nС печалью расстанься пустой,\nО сердце, само посуди:\nПроходит всё под луной,\nИ время наше прошло.\nЯ знаю, тебе тяжело.\nПора уже наша не та,\nНе те уже наши лета!\nЧто дальше? Опомнись, дружок!\nКуда мы с тобой придём?\nПусть преданностью и трудом\nЯ милой вниманье привлёк.\nПусть прежняя власть мне дана,\nПусть может, как прежде, она\nСклониться к нашей мольбе,\nЛюбовью ответить тебе, —\nОт этого ждать ли добра?\nНе та уже наша пора!\nСупруга мы честь оскорбим,\nПред богом ответим своим…\nПусть пламень твой не погас.\nПусть любят красавицы нас, —\nНе лучше ли нам с тобой,\nО сердце, уйти на покой?\n\nО сердце, свой жар остуди.\nНе надо огонь расточать.\nО сердце, само посуди,\nНедолго ты будешь стучать…\nА годы пройдут чередой,\nНе сберегая огня,\nТебе не скажу я: «Стой!» —\nСамо замолчишь у меня.\nНе рвись к забаве пустой,\nОстынь, не гори, не шуми,\nТебя не хватит, пойми.\nСожжёт тебя эта гроза!\nСебя ты не расточай.\nПусть чёрные жалят глаза,\nА ты им не отвечай…\nЗачем нам скакать с тобой\nПо кочкам, колючей тропой,\nПокоем своим рисковать,\nПред взором своим рисовать\nУслады минувших дней?\nМы станем смешного смешней,\nКоль глупо себя поведём.\nДругим на глаза попадём,\nСебя превратим в мишень,\nРазденут, побьют подчас.\nУбьют насмешкою нас:\nК закату склонился наш день…\n\nО сердце, свой жар остуди.\nТого, что прошло, не буди.\nСвой нрав горячий исправь,\nКрасавиц в покое оставь,\nОдну избери для любви,\nПодругой её назови,\nПодругой на все года.\nОна принесёт с собой\nМне — радость, тебе — покой.\nИ будет с нами всегда.",,,,,
1882,Қансонарда бүркітші шығады аңға,"Қансонарда бүркітші шығады аңға,\nТастан түлкі табылар аңдығанға.\nЖақсы ат пен тату жолдас бір ғанибет,\nЫңғайлы ықшам киім аңшы адамға.\nСалаң етіп жолықса қайтқан ізі,\nСағадан сымпың қағып із шалғанда.\nБүркітші тау басында, қағушы ойда,\nІздің бетін түзетіп аңдағанда.\nТомағасын тартқан соң бір қырымнан,\nҚыран құс көзі көріп самғағанда.\nТөмен ұшсам түлкі өрлеп құтылар деп,\nҚандыкөзқайқаң қағып шықса аспанға,\nКөре тұра қалады қашқан түлкі\nҚұтылмасын білген соң құр қашқанға.\nАузын ашып, қоқақтап, тісін қайрап,\nО да талас қылады шыбын жанға.\nҚызық көрер, көңілді болса аңшылар,\nШабар жері қарамай жығылғанға,\nҚырық пышақпен қыржыңдап тұрған түлкі,\nО дағы осал жау емес қыран паңға.\nСегіз найза қолында, көз аудармай,\nБатыр да аял қылмайды ертең таңға.\nҚанат, құйрық суылдап, ысқырады,\nКөктен қыран сорғалап құйылғанда.\nЖарқ-жұрқ етіп екеуі айқасады,\nЖеке батыр шыққандай қан майданға.\nБіреуі — көк, біреуі — жер тағысы,\nАдам үшін батысып қызыл қанға.\nҚар — аппақ, бүркіт — қара, түлкі — қызыл,\nҰқсайды хасасұлу шомылғанға.\nҚара шашын көтеріп екі шынтақ,\nО да бүлк-бүлк етпей ме сипанғанда?!\nАппақ ет, қып-қызыл бет, жап-жалаңаш, \nҚара шаш қызыл жүзді жасырғанда.\nКүйеуі ер, қалыңдығы сұлу болып,\nЖәне ұқсар тар төсекте жолғасқанға. \nАрт жағынан жаурыны бүлкілдейді,\nҚыран бүктеп астына дәл басқанда. \nҚұсы да иесіне қоразданар,\nАлпыс екі айлалы түлкі алғанда. \n«Үйірімен үш тоғыз» деп жымыңдап, \nЖасы үлкендер жанына байланғанда.\nСілке киіп тымақты, насыбайды \nБір атасың көңілің жайланғанда.\nТаудан жиде тергендей ала берсе,\nБір жасайсың құмарың әр қанғанда. \nКөкіректе жамандық еш ниет жоқ,\nАң болады кеңесің құс салғанда.\nЕшкімге зияны жоқ, өзім көрген \nБір қызық ісім екен сұм жалғанда. \nКөкірегі сезімді, көңілі ойлыға \nБәрі де анық тұрмай ма ойланғанда.\n\nҰқпассың үстірт қарап бұлғақтасаң, \nСуретін көре алмассың, көп бақпасаң. \nКөлеңкесі түседі көкейіңе,\nӘр сөзін бір ойланып салмақтасаң.\nМұны оқыса, жігіттер, аңшы оқысын, \nБіле алмассың, құс салып дәм татпасаң.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Всадник с беркутом скачет в ранних снегах.\nБудет зорок — добудет лису в горах.\nВот находка в пути: удобный наряд,\nКонь хороший да спутник, забывший страх,\nДа лисы осторожной обратный след,\nОбнаруженный чудом в горных кустах.\n\nУ подножья горы — охотников сбор.\nВсадник с беркутом скачет во весь опор,\nОн сорвет клобучок у беркута с глаз -\nБеркут крылья расправит, глядя в упор.\n«Слишком низко мы скачем: уйдет лиса!» -\nТак подумав, он взмоет к вершинам гор.\n\n«Не спасет меня бегство», — лиса поймет,\nИ замрет она вдруг, и раскроет рот,\nЗаскрежещет зубами и глянет вверх:\nИ она хочет жить, у нее — свой расчет!\nБудет зрелище! Ловчий нетерпелив,\nПрезирая опасность, летит вперед.\n\nПомнит беркут: лиса — из мощных врагов,\nСразу в дело пускает сорок клинков.\nНо не вздумает медлить беркут-батыр:\nОбнажит восемь лезвий, восемь штыков.\nЗашумит он крылами и полетит,\nУстремится на землю из облаков.\nВот сошлись, вот сцепились в блеске зари,\nСловно единоборцы-богатыри.\nТа — царица земли, тот — небесный царь.\nЗахотел человек — и эти цари\nБьются насмерть… А снег ослепительно бел,\nЧерен беркут, лисица красна…\nСмотри!\nЭта битва с купаньем девы сходна,\nВ час, когда на локтях поднимает она\nДве косы смоляные, входя в ручей,\nМолодая, нагая, легка, нежна,\nС белоснежным телом, румяна лицом.\n\nЭта битва тебе напомнить должна\nЖениха и невесты первую ночь.\nНа постели им тесно… Лисе невмочь:\nБеркут смял и свернул ее под собой.\nЛовчий, быстро добычу ты приторочь!\nИ, гордясь победой над хитрой лисой,\nПобедители стать на отдых не прочь.\n\nСкажут старшие, похвалив смельчака:\n«Захвати в добычу три косяка!»\nТы доволен и рад. Стряхнув малахай,\nТы кладешь за губу щепоть табака.\nСловно ягод в горах — пусть будет лисиц,\nЧтоб охотника доля стала сладка.\n\nНикакого не делаешь ты вреда,\nЕсли ты приезжаешь на ловлю сюда.\nВ бренном мире нет мне занятья милей,\nЯ готов про охоту слушать всегда.\nУ кого проницательный, ясный ум,\nТот, наверно, меня поймет без труда.\n\nНе видна близоруким в степи трава,\nНе понять верхогляду мои слова.\nНо возникнет картина в душе твоей,\nЕсли в каждое слово вникнешь сперва.\nТолько истинный ловчий меня поймет,\nТот, в чьем сердце прелесть охоты жива.",,,,,
1884,Қақтаған ақ күмістей кең маңдайлы,"Қақтаған ақ күмістей кең маңдайлы,\nАласыз қара көзі нұр жайнайды. \nЖіңішке қара қасы сызып қойған,\nБір жаңа ұқсатамын туған айды. \nМаңдайдан тура түскен қырлы мұрын, \nАқша жүз, алқызыл бет тіл байлайды. \nАузын ашса, көрінер кірсіз тісі,\nСықылды қолмен тізген, іш қайнайды. \nСөйлесе, сөзі әдепті әм мағыналы,\nКүлкісі бейне бұлбұл құс сайрайды. \nЖұп-жұмыр, ақ торғындай мойыны бар, \nҮлбіреген тамағын күн шалмайды. \nТақтайдай жауырыны бар, иығы тік,\nЕкі алма кеудесінде қисаймайды.\nСорақы ұзын да емес, қысқа да емес, \nНәзік бел тал шыбықтай бұраңдайды. \nЕтіндей жас баланың білегі бар,\nӘжімсіз ақ саусағы іске ыңғайлы.\nҚолаң қара шашы бар жібек талды \nТорғындай толқын ұрып көз таңдайды.",,,,,,,,,,,,,,,,,,,,"Словно месяц, изогнутый в небе ночном,\nОтливает сверкающий лоб серебром.\nСвет струится из черных, как полночь, очей,\nБрови вскинули иссиня-черный излом.\nНос точеный у ней легок, узок и прям.\nРозов отсвет ланит — удивленье очам,\nСердце, видя улыбку, пьянеет, когда\nБлещут зубы, подобны во всем жемчугам.\nРечь нежна и умна — тонкий лепет ручья,\nСмех заливчато длится, как трель соловья,\nШея — шелк белоснежный — гибка и тонка,\nЧист и свеж подбородок, прохладу тая.\nСредний рост у нее, но величествен вид,\nТонок выгиб спины, взор открыто глядит,\n Камышинкою легкой сгибается стан,\nИ два яблока зреют у ней на груди.\nПо-ребячески нежен ее локоток,\nПальцы гладки, проворны, блестит ноготок,\nИ, потупясь, смущенно туманится взгляд,\nЕсли косы рассыплют свой черный поток.\nНаши девушки нежной цветут красотой,\nНо ненадолго дан им душевный покой –\nНа прекрасной заре восемнадцати лет\nЖизнь направит пути их суровой рукой.\nЗатаили лукавство, притворство одни,\nБудто вовсе о страсти не знают они,\nИ уж слишком отважны другие, плетя\nСеть кокетства, ужимок, пустой болтовни.\nМы же хитрости девичьи знаем давно:\nТот им мил, кто всегда уважаем людьми.\nТак и юноши: эти, про стыд позабыв,\nК недоступному свой устремляют порыв,\nТе — скромны и тщеславия вовсе чужды,\nТерпеливы, и каждый из них молчалив.\nНо ценнее всех тот, кто в упорстве своем\nНе растратил себя на тщеславье пустом,\nКто свой дух воспитал на полезном труде\nИ давно научился ходить за скотом.",,,,"Лоб словно серебро, расплавленное над огнем,\nСветом блещут сияют глаза, в которых\nнет ненависти /нежный взгляд/.\nТонкие брови словно начерчены,\nНапоминают мне молодую луну.\nТонкий, граненый нос начинается от бровей,\nЛик как /восходящая/ заря, языком невозможно описать.\nРотик откроет, зубы белые без изъяна,\nСловно нанизанные вручную, нутро опалят.\nЗаговорит — речь благозвучна, нет пустого,\nСмех, словно песня, трель соловья.\nИмеет шею — бархатистую, округлую —\nне задетую, не опаленную лучами солнца.\nЛопатки — прямые как дощечки –\nОснова благородной осанки,\nГруди не обвислые, а как два яблока.\nТалия ни длинна, ни коротка,\nА гибкая, как молодое деревце.\nКисть как у младенца,\nБелые, гладкие пальчики без морщин — предназначены для шитья.\nЧерные, густые волосы. — шелковые нити,\nСтруятся, волнуются — радуя глаз.\nУ нынешних красавиц сон пропадет,\nЕсли она никого не прельстила.\nЯблоки грудей обмякнут (как легкие),\nЕсли в восемнадцать-девятнадцать лет их никто не попробовал.\nИх характер и нрав — делать вид –\nКак будто ничего не видели и не знают.\nХотят казаться открытыми, чистыми,\nНи к месту веселятся и флиртуют со всеми подряд.\nТо, что на уме у красавицы, мы, давно знаем,\nПарней, которые на устах у народа,\nОни не оставят без внимания.\nЕсть парни, чья суть /поступки/ добро,\nВсе что они делают, не для бахвальства.\nА есть некоторые, без совести и чести,\nЛезут, хватают то, что им не положено.\nНе совершают значимые дела, не делают вывод.\nНе работают, не пасут скот они.\nНет в них нравственности,\nРазвязано болтаются впустую без дела.",,,,,,,,"Высокий лоб — живое серебро,\nЛучами черных глаз озарено.\nОчерченный пером бровей разлет,\nДвум лунам молодым подобен их полет.\nНос совершенной линией манит,\nЯзык мой онемел от розовых ланит.\nротик, зубы белые чисты,\nКак жемчуга нанизаны — душа горит.\nЗаговорит и речь умна, тонка,\nСмех звонкий, словно трели соловья.\nОкругла шея — бархат, а не бязь,\nНа кожу нежную и солнцу не упасть.\nПлечи и стан прямее чинара,\nГруди налиты как спелых два яблока.\nНи коротка, немерено длинная,\nТалия будто лозиночка гибкая.\nНежная обликом, словно дитя,\nБелые пальцы ее для шитья.\nЧерные волосы шелком искрятся,\nОчи, чаруя, волною струятся.\nКрасавицей ли назовется та,\nЧто восемнадцать все еще цела?\nГрудей коль не коснется страсть,\nУвянут два обиженных плода.\nНрав — будто и не знают ничего,\nКокетничают, все пройдя давно.\nНи к месту, неприлично веселятся,\nОткрытыми хотят и чистыми казаться.\nВсе хитрости девиц известны нам,\nДжигитов предпочтут, достойных похвалам.\nХотя среди парней не счесть,\nКого без дела раздувает спесь.\nДругие же без совести и чести,\nХватаются за то, что не по чести.\nКоль не трудился знанья обретя,\nВ работе тяжкой не найдет скота.\nПорядочным не назовут джигита,\nЧто жил впустую и болтался зря.",,,,,,"Подобен серебру чеканному широкий лоб резной,\nГлаз черных крупные зрачки кидают зной.\nА брови так тонки, как будто кто нарисовал,\nНапоминают новый месяц в вышине сквозной.\nТоченый носик продолжает лба умного овал.\nВолнует щек живым румянцем, шеи белизной,\nРот приоткрыт — блещут зубы, как белоснежный вал,\nКак будто жемчуг, связанный ниткой одной.\nСмех — соловьиный перещелк в чаще теневой.\nШея круглая бела, нежна, как шелк.\nРовны лопатки, как дощечки, плечики прямы.\nДва яблока грудей не тронуты кривизной.\nКак тело нежное мальца, рук линии нежны,\nПальцы легкие в работе плещутся волной.\nГустые волосы черны и шелковисты так,\nЧто льются, радуя сильнее, чем атлас иной.\nЕсть девушки, что сохранят невинность? Извини!..\nВетрены красавицы в наши нынче дни.\nВосемнадцать, девятнадцать едва минует лет —\nОбмякнут яблоки грудей, как их не затяни.\nА нравом таковы: укор считают за навет,\nПрикинутся невинными: — «Стой, повремени!»\nИные же — веселье, ласка и привет,\nКокетничают сразу, к ним только заверни.\nИные же джигиты, утратив совесть, честь,\nРвутся к недоступному для себя, одни,\nНет времени на разум, на дело нету сил,\nИ для добра не трудятся бездумные они.",,,,"Белый лоб — серебро, чей тонок чекан.\nОн глазами лучистыми осиян.\n\nТонко вычерчен двух бровей полукруг.\nОблик юной луны красавице дан.\n\nНос её — словно выточен на лице.\nКто расскажет, как цвет её щек румян!\n\nО жерельем жемчужных её зубов\nЯ любуюсь, от жгучих желаний пьян.\n\nСмех журчащий её — как дробь соловья.\nВ мудрой речи её не гостит обман.\n\nШёлк завидовать может шее такой.\nКто в её подбородке сыщет изъян?\n\nКак тонки очертанья точеных плеч!\nТуг и свеж этих юных грудей шафран.\n\nБезупречен налив этих двух плодов,\nИ маняще упруг тростниковый стан.\n\nЭти гладкие пальцы ловки в шитье,\nЛокоть — нежный младенец, что всеми ждан,\n\nА смолистые косы — волнистый шёлк.\nЧто для радости взора прилежно ткан.\n\nЧей же цвет не увял от ранних страстей?\nВероломны красавицы наших дней,\n\nИ годам к восемнадцати жёлт и вял\nИ уже не желанен шафран грудей.\n\nЛицемерны личины иных блудниц:\nДобродетельней нет, мол, и нет святей.\n\nНо немало таких, что всем напоказ\nЩеголяют распущенностью своей.\n\nЗнаем скромниц мы этих, забывших счёт\nУдальцам, что недолго ждут у дверей.\n\nТут бывает порой неплохой джигит,\nНе кричит он везде о победе своей.\n\nА иной — пусть бесстыжий, грубый хвастун, —\nИ таких принимают девы гостей.\n\nХоть таким не сойти за честных людей,\nХоть такие к безделью всего склонней,\n\nХоть иной разглагольствующий джигит\nНедороже хвастливых своих речей.",,,,,,,,,,,
