Year,KK_Title,KK_Text
1855,Кім екен деп келіп ем түйе қуған,"Кім екен деп келіп ем түйе қуған,\nҚатын ғой күлдәрімен белін буған.\nТөркінінің бергені жауыр айғыр,\nБауырыңды ұрайын бірге туған."
1859,"Фзули, Шәмси, Сәйхали","Фзули, Шәмси, Сәйхали,\nНауаи, Сағди, Фирдауси,\nХожа Хафиз — бу һәммәси\nМәдәтбер, я, шағири, фәриад!"
1858,Шығыс ақындарынша,"Йүзі — раушан, көзі — гәуһар, \nЛәғилдек бет үчі әхмәр,\nТамағи қардан һәм беһтәр,\nҚашың қудрәт, қоли шикә.\nӨзүң гузәлләрә раһбар,\nСәңә ашиқ болып кәмтәр,\nСүләймен, Жәмшит, Искәндәр,\nАла алмас барша мулкигә.\n\nМәбада олса ол бір кәз,\nТамаша қылса йүзмә-йүз,\nКетіп қуат, йұмылып көз,\nБойың сал-сал бола нигә?"
1864,Әлифби,"Әлиф-дек ай йүзіңә ғибрәтеттім,\nБи — бәлаидәртіңәнисбәтеттім.\nТи — тілімнән шығарып түрлі әбиат,\nСи — сәнәимәдхіңәхурмәтеттім.\nЖим — жамалыңқандай ақ рузимаған,\nХә — хәлилликтапмадым, жаным, сәнан.\nХи — халайық, мен емес, бәрі интизар,\nДәл — дариға ғишықоты бермес аман.\nЗәл — зәлилліккөрген соң, сайрай бер, тіл, \nРе — риза қылмағыңды, яр, өзің біл.\nЗе — заһардайкүйдірді ғишқың қатты,\nСын — сәләмат қалмағым болды мүшкіл.\nШын — шәкәр ләбесіме түскен сайын,\nСат — сабырым қалмады, мен не әйләйін.\nЗат — заиғөмірім өтті менің бекер,\nТа — талаптан әйтеуір құр қалмайын.\nЗа — залым көп қылыш боп жанға оқталды, \n‘Айн — ақылымды басымнан тартып алды. \nҒайын — ғариблікбасыма түскеннен соң,\nФи — файдаңтие ме деп жаза салды.\nҚаф — қабыл болар ма екен жазған хатым, \nКәф — кәмілақылың, асыл затым.\nЛәм — ләбіңненем қылсаң мен дәртліге,\nМим — меһріңнен қалмас ед бар апатым.\nНун — нала ғып қайғыңмен күйдірдің көп, \nУау — уәйланағишқыңуайым жеп, \nҺи — һеш файдаң тимесе өлді ойлаңыз, \nЛәм-әлиф — лә иләһа иллалладеп.\nЯ — ярым, қалай болар жауап сөзің,\nМәд– қасың, тәшдид — кірпік, сукун — көзің. \nҮтірмен асты-үстілі жазуда бар,\nБолуға асты-үстілі көнсең өзің."
1870,Шәріпке,"Түңлікбайдың қатыны, атың Шәріп,\nБайға жарып көрмеген сен бір кәріп.\nСен — шыққан жол үстінде жалғыз түп ши, \nКөрінген ит кетеді бір-бір сарып."
1876,Абыралыға,"Мен жасымнан көп көрдім\nМұсылманды, кәпірді.\nАбыралыдай көрмедім\nНамаз білмес пақырды.\n\nҚираәтін оқытып\nКөріп едім, шатылды.\nНиет қыла білмейді,\nНе қылады нәпілді.\n\nНамазшамның артынан\nҚұржаң-құржаң етеді.\nЖер ұшық берген кісідей,\nТоңқаңдай ма, не етеді.\n\nНәпіл түгіл намазы —\nБәрі желге кетеді.\n«Еннатайына кәлкәусар»,\nПашол дереу, күнәкар\nАяғын ойлап айтқаны:\n«Әні-шаны күлаптар».\n\nОсы оқумен намаздың\nҚай жерінде сауап бар?\nТегін ойлап байқасаң,\nМұнда ми жоқ, құлақ бар."
1880,Жақсылыққа,"Аяғыңды аңдап бас, ей, Жақсылық!\nӨз басыңда жының бар бір бақсылық. \nБорышқорлық — адамға қиын нәрсе, \nӘрқайда өсіткізеді мал тапшылық."
1880,"Сап, сап, көңілім, сап, көңілім!","Сап, сап, көңілім, сап, көңілім!\nСаяламай, сай таппай,\nНе күн туды басыңа,\nКүні-түні жай таппай?\nСен жайыңа жүргеннен,\nҚыз өле ме бай таппай?\nТүн кезгенің мақұл ма, \nЖан-жағыңа жалтақтай?\nӨлермін деп жүрмісің,\nМұнан басқа жан таппай?\n\nСап, сап, көңілім, сап, көңілім! \nСабыр түбі — сары алтын.\nСабыр қылсаң, жайыңды \nБілер ме екен бекзатым?\nКөңіл аулап, сөз айтар \nАрадағы тілхатым,\nАғын судай екпіндеп,\nЛайы жоқ суатым,\nАуру да емес, сау да емес, \nҚұрыды әл-қуатым.\n\nСап, сап, көңілім, сап, көңілім! \nСанақылма бекерге.\nСан қылғанмен пайда жоқ,\nДүние даяр өтерге,\nАжал даяр жетерге.\nҚош, қыз алсын қойнына,\nБейнет көрмей, дәулет жоқ.\nӘлі барып кетерге,\nОныменен бойыңа \nИман, дәулет бітер ме?\nАдалды сатсаң арамға,\nҚұдай қабыл етер ме?\nҚыз сүйеді мені деп,\nОған көңіл көтерме!\nСап, сап, көңілім, сап, көңілім! \nСарқа берме санасын.\nБәрін өзің білсең де,\nӘлі-ақ өзің танасың.\nӨртенесің, жанасың.\nӨз-өзіңнен бейнетке \nӨз басыңды саласың.\nҚай мезгілде тойғыздың \nАюдайын ағасын,\nҚатыны мен қалашын?\nҚарсақ жортпас қара адыр, \nҚарамай неге шабасың?\nСонда тәуір бола ма,\nҰстап ап біреу сабасын? \nКиіміңді тонасын,\nЕлге де күлкі боласың.\nСап, сап, көңілім, сап, көңілім! \nСағынышқа сарғайма!\nЖай жүрсең де қыз қумай, \nСені біреу қарғай ма?\nҚыз іздесең, қалың бер,\nМұным ақыл болмай ма?\nКөріп алсаң көріктіні,\nТандап алсаң тектіні,\nСонда көңіл толмай ма?"
1882,Қансонарда бүркітші шығады аңға,"Қансонарда бүркітші шығады аңға,\nТастан түлкі табылар аңдығанға.\nЖақсы ат пен тату жолдас бір ғанибет,\nЫңғайлы ықшам киім аңшы адамға.\nСалаң етіп жолықса қайтқан ізі,\nСағадан сымпың қағып із шалғанда.\nБүркітші тау басында, қағушы ойда,\nІздің бетін түзетіп аңдағанда.\nТомағасын тартқан соң бір қырымнан,\nҚыран құс көзі көріп самғағанда.\nТөмен ұшсам түлкі өрлеп құтылар деп,\nҚандыкөзқайқаң қағып шықса аспанға,\nКөре тұра қалады қашқан түлкі\nҚұтылмасын білген соң құр қашқанға.\nАузын ашып, қоқақтап, тісін қайрап,\nО да талас қылады шыбын жанға.\nҚызық көрер, көңілді болса аңшылар,\nШабар жері қарамай жығылғанға,\nҚырық пышақпен қыржыңдап тұрған түлкі,\nО дағы осал жау емес қыран паңға.\nСегіз найза қолында, көз аудармай,\nБатыр да аял қылмайды ертең таңға.\nҚанат, құйрық суылдап, ысқырады,\nКөктен қыран сорғалап құйылғанда.\nЖарқ-жұрқ етіп екеуі айқасады,\nЖеке батыр шыққандай қан майданға.\nБіреуі — көк, біреуі — жер тағысы,\nАдам үшін батысып қызыл қанға.\nҚар — аппақ, бүркіт — қара, түлкі — қызыл,\nҰқсайды хасасұлу шомылғанға.\nҚара шашын көтеріп екі шынтақ,\nО да бүлк-бүлк етпей ме сипанғанда?!\nАппақ ет, қып-қызыл бет, жап-жалаңаш, \nҚара шаш қызыл жүзді жасырғанда.\nКүйеуі ер, қалыңдығы сұлу болып,\nЖәне ұқсар тар төсекте жолғасқанға. \nАрт жағынан жаурыны бүлкілдейді,\nҚыран бүктеп астына дәл басқанда. \nҚұсы да иесіне қоразданар,\nАлпыс екі айлалы түлкі алғанда. \n«Үйірімен үш тоғыз» деп жымыңдап, \nЖасы үлкендер жанына байланғанда.\nСілке киіп тымақты, насыбайды \nБір атасың көңілің жайланғанда.\nТаудан жиде тергендей ала берсе,\nБір жасайсың құмарың әр қанғанда. \nКөкіректе жамандық еш ниет жоқ,\nАң болады кеңесің құс салғанда.\nЕшкімге зияны жоқ, өзім көрген \nБір қызық ісім екен сұм жалғанда. \nКөкірегі сезімді, көңілі ойлыға \nБәрі де анық тұрмай ма ойланғанда.\n\nҰқпассың үстірт қарап бұлғақтасаң, \nСуретін көре алмассың, көп бақпасаң. \nКөлеңкесі түседі көкейіңе,\nӘр сөзін бір ойланып салмақтасаң.\nМұны оқыса, жігіттер, аңшы оқысын, \nБіле алмассың, құс салып дәм татпасаң."
1884,Қақтаған ақ күмістей кең маңдайлы,"Қақтаған ақ күмістей кең маңдайлы,\nАласыз қара көзі нұр жайнайды. \nЖіңішке қара қасы сызып қойған,\nБір жаңа ұқсатамын туған айды. \nМаңдайдан тура түскен қырлы мұрын, \nАқша жүз, алқызыл бет тіл байлайды. \nАузын ашса, көрінер кірсіз тісі,\nСықылды қолмен тізген, іш қайнайды. \nСөйлесе, сөзі әдепті әм мағыналы,\nКүлкісі бейне бұлбұл құс сайрайды. \nЖұп-жұмыр, ақ торғындай мойыны бар, \nҮлбіреген тамағын күн шалмайды. \nТақтайдай жауырыны бар, иығы тік,\nЕкі алма кеудесінде қисаймайды.\nСорақы ұзын да емес, қысқа да емес, \nНәзік бел тал шыбықтай бұраңдайды. \nЕтіндей жас баланың білегі бар,\nӘжімсіз ақ саусағы іске ыңғайлы.\nҚолаң қара шашы бар жібек талды \nТорғындай толқын ұрып көз таңдайды."
